编号,肺活量,体重指数(BMI),50米跑,1000米跑,立定跳远,引体向上,坐位体前屈,总分
c1efdcec-343b-4e47-8732-524f99d7b0be,100,80,76,60,62,30,64,69.8
c26f4d75-6742-44ac-a694-670c9ccfd90f,76,100,100,78,72,30,80,80.2
c2a89a5b-9d3b-4f76-ae51-542b9c2c80de,80,100,95,76,80,40,20,75.2
c3ed1fb6-9c76-4ece-9ec7-0ad750726a1e,85,60,100,72,72,10,66,71
c49cebb2-ac1c-44b1-aa8c-d2c9dee1f535,0,0,0,0,0,0,0,
c505f1f5-f1c3-4f84-a88c-17b121d71276,74,80,100,80,76,72,66,80.5
c60280ba-2b7b-4a57-87ad-d3c3f17b2535,100,100,78,70,66,10,80,75.2
cd325520-ba58-4203-97d4-f684f76bf4e5,100,100,100,85,100,60,76,90.6
d65cd985-d8a1-4bda-803d-8ff60b207f22,100,80,74,74,60,0,85,71.1
d793baa3-edd8-4674-9601-29a9953c7ec2,100,100,95,76,80,0,95,81.7
d8970644-0724-4b53-b0fc-5a2bda9d6c72,80,100,76,74,72,10,62,71.4
def97a56-94c9-4eab-b564-4123e78b8597,100,80,76,76,60,0,70,70.4
e1f4c023-fd48-4633-a2a3-53e8ba1878c4,0,0,0,0,0,0,0,
e465dcfb-993b-4677-bf70-f8c5a133293d,95,60,68,66,66,0,72,63.9
e5b55da7-bd55-47f6-bf05-4962d5cdfc1e,100,100,78,74,62,20,62,74.8
e867f254-52ce-4dbb-9aff-ac89293dba3d,0,0,0,0,0,0,0,
eaa8fd0b-ae99-4e96-90b9-8489b2dc6957,100,80,100,72,80,0,85,77.9
ebbf884f-e67b-4ad3-b4ac-17705fd7f254,100,100,90,78,76,64,90,86.6
ed5dd415-e6be-4e34-8e45-4b27a57bccf7,100,100,76,72,72,20,62,75
ee186c97-b2ad-488e-bc5d-c28fffee6ead,85,100,72,72,70,10,60,70.5
f01f0467-257b-4d2a-9233-2d3efd473c0f,95,100,78,74,70,40,0,70.7
f11d2c2e-dff5-42da-bd97-c214fcd77499,100,100,100,78,90,76,80,90.2
f2bc96a2-1ad5-4fd7-9943-0a58120b4b53,100,80,78,78,64,0,70,71.6
f30634ab-4721-4b43-9add-b92b52b82e6e,70,100,80,60,72,0,74,68.1
f4a9d347-d8ca-4c36-bb86-9791602ec081,85,100,76,72,60,0,64,69.8
f76a891e-e7f0-4a8e-9747-e298b1498163,90,100,78,70,72,10,68,73.1
fad1adff-9d96-4270-82f9-107bab38565a,100,60,68,50,60,0,74,61
fc6e230e-c72f-4c12-a33a-d2c5fd8c02fb,100,100,100,85,80,64,60,87.4
fc987db8-56e2-4f5c-8a77-341661540c3e,100,100,74,74,62,0,62,72
fd0d6672-09a4-4463-9ddf-3ca6c6dd8f33,80,100,74,72,66,20,68,71.6
